Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Japan,2020-03-04 19:23:03,331,6,43,36.0,138.0
,South Korea,2020-03-04 19:23:03,5621,35,41,36.0,128.0
,Algeria,2020-03-04 19:33:03,12,0,0,28.0339,1.6596
,Austria,2020-03-04 19:33:03,29,0,0,47.5162,14.5501
,Bahrain,2020-03-04 19:33:03,52,0,0,26.0275,50.55
,Czech Republic,2020-03-04 19:33:03,8,0,0,49.8175,15.473
,Ecuador,2020-03-04 19:33:03,10,0,0,-1.8312,-78.1834
,Germany,2020-03-04 19:33:03,262,0,16,51.0,9.0
,Greece,2020-03-04 19:33:03,9,0,0,39.0742,21.8243
,Hungary,2020-03-04 19:33:03,2,0,0,47.1625,19.5033
,Iceland,2020-03-04 19:33:03,26,0,0,64.9631,-19.0208
,Norway,2020-03-04 19:33:03,56,0,0,60.472,8.4689
,Oman,2020-03-04 19:33:03,15,0,2,21.0,57.0
,San Marino,2020-03-04 19:33:03,16,1,0,43.9424,12.4578
,Switzerland,2020-03-04 19:33:03,90,0,3,46.8182,8.2275
,UK,2020-03-04 19:33:03,85,0,8,55.0,-3.0
