,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
301,2020-12-12,61.14492687991099,122.63565368940642,175.6808469479297,6.928615660789076,40.575761420118305,-11.598415238222827
302,2020-12-13,60.64467566039736,126.38616249666596,175.68085780032,5.928680650141412,39.826318555168484,-10.847725108347332
303,2020-12-14,60.69077008794582,121.18081657215203,172.69090497774042,8.681014078379159,41.22891930542506,-11.927593242342256
304,2020-12-14,65.23715218930022,126.55863617475083,188.36680027457191,11.600171832902694,44.213560407394,-12.67287502981235
305,2020-12-15,65.7368509497196,126.55883347871774,190.61669683531449,10.85022134305034,42.21500539569668,-12.422338224770384
306,2020-12-16,61.736639355710096,124.80906467193364,185.86694897756124,4.350626874194829,35.969534675517934,-10.421760950594493
307,2020-12-17,61.73634986535141,125.80943554978077,179.61727731681654,6.850475155166631,40.9660551396725,-11.171023240984777
308,2020-12-18,62.73604057991191,126.05976554751409,180.36725007193246,7.10046274864261,41.71560549998998,-11.920307746939903
309,2020-12-19,62.235789360397604,129.810274354764,180.36726092430058,6.100527738005234,40.96616263504917,-11.16961761706718
310,2020-12-20,62.281883787950974,124.60492843025854,177.37730810173153,8.852861166249118,42.36876338531395,-12.249485751063238
311,2020-12-21,66.82826588929132,129.98274803284974,193.05320339852645,11.772018920759828,45.353404487273764,-12.994767538529558
312,2020-12-22,67.32796464972105,129.9829453368343,195.30309995931535,11.0220684309069,43.354849475573694,-12.744230733486544
313,2020-12-23,63.32775305570807,128.233176530029,190.55335210154257,4.522473962052515,37.10937875539331,-10.74365345931323
314,2020-12-24,63.32746356534743,129.23354740787872,184.30368044081453,7.022322243015899,42.1058992195331,-11.49291574969929
315,2020-12-25,64.32715427991276,129.48387740561455,185.05365319592082,7.272309836502456,42.85544957986691,-12.242200255659137
316,2020-12-26,63.826903060395956,133.23438621286454,185.053664048302,6.2723748258552225,42.106006714915445,-11.491510125783638
317,2020-12-27,63.872997487940644,128.02904028835664,182.06371122570576,9.024708254087464,43.508607465170044,-12.571378259776601
318,2020-12-28,68.41937958929186,133.4068598909401,197.73960652252373,11.943866008614702,46.49324856714211,-13.31666004724881
319,2020-12-29,68.91907834971786,133.40705719492394,199.98950308329808,11.193915518760715,44.49469355544191,-13.066123242204762
